loan_id,date_id,event_date,user_id,book_id,branch_id,category_id,loan_date,due_date,return_date,loan_duration_days,days_overdue,penalty_amount,quantity
L000067,20240919,2024-09-19,249,38,3,5,2024-09-19,2024-10-17,2024-10-17,28,0,0.0,1
L000068,20260506,2026-05-06,400,17,1,3,2026-05-06,2026-05-20,2026-05-19,13,0,0.0,1
L000069,20250613,2025-06-13,325,40,1,5,2025-06-13,2025-07-11,2025-07-11,28,0,0.0,1
L000070,20250402,2025-04-02,157,58,6,8,2025-04-02,2025-04-30,2025-04-30,28,0,0.0,1
L000071,20251105,2025-11-05,129,52,6,7,2025-11-05,2025-12-03,2025-12-03,28,0,0.0,1
L000072,20240906,2024-09-06,250,11,1,2,2024-09-06,2024-09-20,2024-09-20,14,0,0.0,1
L000073,20250305,2025-03-05,187,64,2,8,2025-03-05,2025-03-19,2025-03-15,10,0,0.0,1
L000074,20251223,2025-12-23,169,40,5,5,2025-12-23,2026-01-06,2026-01-06,14,0,0.0,1
L000075,20251125,2025-11-25,102,63,1,8,2025-11-25,2025-12-09,2025-12-10,15,1,0.3,1
L000076,20260525,2026-05-25,389,26,5,4,2026-05-25,2026-06-08,,6,0,0.0,1
L000077,20251119,2025-11-19,324,35,1,5,2025-11-19,2025-12-17,2025-12-17,28,0,0.0,1
L000078,20250701,2025-07-01,170,3,1,1,2025-07-01,2025-07-29,2025-07-25,24,0,0.0,1
L000079,20260113,2026-01-13,135,12,2,2,2026-01-13,2026-01-27,2026-02-03,21,7,2.1,1
L000080,20260423,2026-04-23,72,3,5,1,2026-04-23,2026-05-07,2026-05-24,31,17,5.1,1
L000081,20251230,2025-12-30,70,1,1,1,2025-12-30,2026-01-13,2026-01-18,19,5,1.5,1
L000082,20260519,2026-05-19,298,31,1,4,2026-05-19,2026-06-02,,12,0,0.0,1
L000083,20260120,2026-01-20,68,1,3,1,2026-01-20,2026-02-03,2026-02-03,14,0,0.0,1
L000084,20260324,2026-03-24,432,19,6,3,2026-03-24,2026-04-21,2026-04-26,33,6,1.8,1
L000085,20241203,2024-12-03,155,38,1,5,2024-12-03,2024-12-31,2024-12-31,28,0,0.0,1
L000086,20260102,2026-01-02,16,33,1,5,2026-01-02,2026-01-16,2026-02-06,35,21,6.3,1
L000087,20250610,2025-06-10,394,35,2,5,2025-06-10,2025-06-24,2025-07-10,30,16,4.8,1
L000088,20251006,2025-10-06,187,42,2,6,2025-10-06,2025-10-20,2025-11-04,29,18,5.4,1
L000089,20251203,2025-12-03,180,30,2,4,2025-12-03,2025-12-17,2025-12-17,14,0,0.0,1
L000090,20260520,2026-05-20,71,30,3,4,2026-05-20,2026-06-03,2026-05-31,11,0,0.0,1
L000091,20260526,2026-05-26,310,41,5,6,2026-05-26,2026-06-09,,5,0,0.0,1
L000092,20250314,2025-03-14,186,4,3,1,2025-03-14,2025-04-11,2025-04-11,28,0,0.0,1
L000093,20260103,2026-01-03,377,42,3,6,2026-01-03,2026-01-31,2026-01-30,27,0,0.0,1
L000094,20260108,2026-01-08,300,9,4,2,2026-01-08,2026-01-22,2026-01-22,14,0,0.0,1
L000095,20250505,2025-05-05,399,7,3,1,2025-05-05,2025-05-19,2025-06-08,34,20,6.0,1
L000096,20241208,2024-12-08,296,64,5,8,2024-12-08,2025-01-05,2025-01-18,41,16,4.8,1
L000097,20241001,2024-10-01,359,1,1,1,2024-10-01,2024-10-29,2024-10-29,28,0,0.0,1
L000098,20260119,2026-01-19,324,55,5,7,2026-01-19,2026-02-16,2026-02-14,26,0,0.0,1
L000099,20250808,2025-08-08,225,61,2,8,2025-08-08,2025-08-22,2025-08-22,14,0,0.0,1
L000100,20260526,2026-05-26,321,64,1,8,2026-05-26,2026-06-09,,5,0,0.0,1
L000101,20250620,2025-06-20,314,15,3,2,2025-06-20,2025-07-18,2025-07-31,41,14,4.2,1
L000102,20260523,2026-05-23,4,17,5,3,2026-05-23,2026-06-06,,8,0,0.0,1
L000103,20250529,2025-05-29,324,40,2,5,2025-05-29,2025-06-26,2025-07-17,49,21,6.3,1
L000104,20260123,2026-01-23,143,71,3,9,2026-01-23,2026-02-20,2026-02-20,28,0,0.0,1
L000105,20241104,2024-11-04,260,17,4,3,2024-11-04,2024-11-18,2024-11-17,13,0,0.0,1
L000106,20251007,2025-10-07,69,58,2,8,2025-10-07,2025-10-21,2025-10-21,14,0,0.0,1
L000107,20260129,2026-01-29,14,66,4,9,2026-01-29,2026-02-12,2026-03-03,33,21,6.3,1
L000108,20260505,2026-05-05,8,29,1,4,2026-05-05,2026-05-19,,26,0,0.0,1
L000109,20260216,2026-02-16,90,37,2,5,2026-02-16,2026-03-02,2026-03-02,14,0,0.0,1
L000110,20240928,2024-09-28,11,36,1,5,2024-09-28,2024-10-26,2024-10-24,26,0,0.0,1
L000111,20250514,2025-05-14,77,35,6,5,2025-05-14,2025-06-11,2025-06-08,25,0,0.0,1
L000112,20241007,2024-10-07,267,2,5,1,2024-10-07,2024-10-21,2024-10-18,11,0,0.0,1
L000113,20241201,2024-12-01,197,42,5,6,2024-12-01,2024-12-15,2024-12-11,10,0,0.0,1
L000114,20251211,2025-12-11,441,19,1,3,2025-12-11,2026-01-08,2026-01-08,28,0,0.0,1
L000115,20251226,2025-12-26,370,5,1,1,2025-12-26,2026-01-23,2026-01-23,28,0,0.0,1
L000116,20260116,2026-01-16,86,1,4,1,2026-01-16,2026-02-13,2026-02-20,35,8,2.4,1
L000117,20260323,2026-03-23,205,57,6,8,2026-03-23,2026-04-06,2026-04-10,18,4,1.2,1
L000118,20260105,2026-01-05,213,28,1,4,2026-01-05,2026-01-19,2026-01-31,26,12,3.6,1
L000119,20260128,2026-01-28,186,47,4,6,2026-01-28,2026-02-25,2026-02-23,26,0,0.0,1
L000120,20241007,2024-10-07,244,13,6,2,2024-10-07,2024-10-21,2024-10-29,22,10,3.0,1
L000121,20250124,2025-01-24,316,68,3,9,2025-01-24,2025-02-21,2025-03-01,36,8,2.4,1
L000122,20251120,2025-11-20,304,39,2,5,2025-11-20,2025-12-18,2025-12-18,28,0,0.0,1
L000123,20260317,2026-03-17,186,55,3,7,2026-03-17,2026-04-14,2026-04-13,27,0,0.0,1
L000124,20240904,2024-09-04,324,64,2,8,2024-09-04,2024-10-02,2024-09-28,24,0,0.0,1
L000125,20250911,2025-09-11,156,64,1,8,2025-09-11,2025-10-09,2025-10-05,24,0,0.0,1
L000126,20251212,2025-12-12,381,40,4,5,2025-12-12,2025-12-26,2026-01-08,27,13,3.9,1
L000127,20240923,2024-09-23,435,11,4,2,2024-09-23,2024-10-07,2024-10-07,14,0,0.0,1
L000128,20250526,2025-05-26,159,49,4,7,2025-05-26,2025-06-09,2025-06-09,14,0,0.0,1
L000129,20260416,2026-04-16,362,2,1,1,2026-04-16,2026-05-14,2026-05-14,28,0,0.0,1
L000130,20251210,2025-12-10,372,36,1,5,2025-12-10,2025-12-24,2025-12-24,14,0,0.0,1
L000131,20250125,2025-01-25,242,9,1,2,2025-01-25,2025-02-08,2025-02-06,12,0,0.0,1
L000132,20260312,2026-03-12,55,70,2,9,2026-03-12,2026-03-26,2026-03-25,13,0,0.0,1
L000133,20250505,2025-05-05,362,27,1,4,2025-05-05,2025-06-02,2025-06-02,28,0,0.0,1
L000134,20260312,2026-03-12,201,2,5,1,2026-03-12,2026-04-09,2026-04-05,24,0,0.0,1
L000135,20250325,2025-03-25,121,40,2,5,2025-03-25,2025-04-08,2025-04-04,10,0,0.0,1
L000136,20251029,2025-10-29,298,51,2,7,2025-10-29,2025-11-12,2025-11-12,14,0,0.0,1
L000137,20250523,2025-05-23,215,29,1,4,2025-05-23,2025-06-06,2025-06-13,21,11,3.3,1
L000138,20250302,2025-03-02,55,37,6,5,2025-03-02,2025-03-16,2025-04-06,35,21,6.3,1
L000139,20260409,2026-04-09,443,64,2,8,2026-04-09,2026-04-23,2026-04-23,14,0,0.0,1
L000140,20250106,2025-01-06,138,64,4,8,2025-01-06,2025-02-03,2025-01-31,25,0,0.0,1
L000141,20241104,2024-11-04,249,36,1,5,2024-11-04,2024-12-02,2024-11-29,25,0,0.0,1
L000142,20250502,2025-05-02,315,27,5,4,2025-05-02,2025-05-16,2025-05-16,14,0,0.0,1
L000143,20251229,2025-12-29,70,40,5,5,2025-12-29,2026-01-12,2026-01-12,14,0,0.0,1
L000144,20260203,2026-02-03,342,1,5,1,2026-02-03,2026-03-03,2026-03-03,28,0,0.0,1
L000145,20260530,2026-05-30,306,36,2,5,2026-05-30,2026-06-27,,1,0,0.0,1
L000146,20250321,2025-03-21,242,65,1,9,2025-03-21,2025-04-04,2025-04-04,14,0,0.0,1
L000147,20250528,2025-05-28,254,51,6,7,2025-05-28,2025-06-11,2025-06-21,24,10,3.0,1
L000148,20241213,2024-12-13,430,2,3,1,2024-12-13,2025-01-10,2025-01-10,28,0,0.0,1
L000149,20251020,2025-10-20,414,4,2,1,2025-10-20,2025-11-03,2025-11-03,14,0,0.0,1
L000150,20260530,2026-05-30,70,39,1,5,2026-05-30,2026-06-13,,1,0,0.0,1
L000151,20251222,2025-12-22,187,41,2,6,2025-12-22,2026-01-05,2026-01-04,13,0,0.0,1
L000152,20251102,2025-11-02,251,43,1,6,2025-11-02,2025-11-16,2025-11-16,14,0,0.0,1
L000153,20250522,2025-05-22,417,51,5,7,2025-05-22,2025-06-19,2025-06-19,28,0,0.0,1
L000154,20260501,2026-05-01,373,1,4,1,2026-05-01,2026-05-15,2026-05-15,14,0,0.0,1
L000155,20250901,2025-09-01,192,1,4,1,2025-09-01,2025-09-29,2025-09-25,24,0,0.0,1
L000156,20241212,2024-12-12,401,55,2,7,2024-12-12,2024-12-26,2025-01-12,31,17,5.1,1
L000157,20250512,2025-05-12,190,19,3,3,2025-05-12,2025-06-09,2025-06-09,28,0,0.0,1
L000158,20241021,2024-10-21,152,43,3,6,2024-10-21,2024-11-04,2024-11-04,14,0,0.0,1
L000159,20250111,2025-01-11,294,15,2,2,2025-01-11,2025-02-08,2025-02-08,28,0,0.0,1
L000160,20240913,2024-09-13,186,52,3,7,2024-09-13,2024-10-11,2024-10-11,28,0,0.0,1
L000161,20250616,2025-06-16,296,37,2,5,2025-06-16,2025-07-14,2025-07-13,27,0,0.0,1
L000162,20251125,2025-11-25,203,68,1,9,2025-11-25,2025-12-23,2025-12-23,28,0,0.0,1
L000163,20250502,2025-05-02,363,28,5,4,2025-05-02,2025-05-30,2025-05-29,27,0,0.0,1
L000164,20250603,2025-06-03,429,58,1,8,2025-06-03,2025-06-17,2025-06-27,24,10,3.0,1
L000165,20260517,2026-05-17,152,41,3,6,2026-05-17,2026-05-31,2026-05-31,14,0,0.0,1
L000166,20260109,2026-01-09,249,17,3,3,2026-01-09,2026-02-06,2026-02-26,48,20,6.0,1
L000167,20250929,2025-09-29,334,31,3,4,2025-09-29,2025-10-13,2025-10-13,14,0,0.0,1
L000168,20250311,2025-03-11,90,34,2,5,2025-03-11,2025-03-25,2025-03-22,11,0,0.0,1
L000169,20260417,2026-04-17,363,45,5,6,2026-04-17,2026-05-15,2026-05-15,28,0,0.0,1
L000170,20250124,2025-01-24,280,58,1,8,2025-01-24,2025-02-21,2025-02-20,27,0,0.0,1
L000171,20250418,2025-04-18,87,17,6,3,2025-04-18,2025-05-02,2025-05-05,17,5,1.5,1
L000172,20260428,2026-04-28,398,25,2,4,2026-04-28,2026-05-26,2026-05-26,28,0,0.0,1
L000173,20250921,2025-09-21,211,41,4,6,2025-09-21,2025-10-05,2025-10-05,14,0,0.0,1
L000174,20260106,2026-01-06,101,51,2,7,2026-01-06,2026-01-20,2026-01-20,14,0,0.0,1
L000175,20251030,2025-10-30,114,35,1,5,2025-10-30,2025-11-13,2025-11-13,14,0,0.0,1
L000176,20251203,2025-12-03,362,19,4,3,2025-12-03,2025-12-31,2025-12-28,25,0,0.0,1
L000177,20250325,2025-03-25,422,65,1,9,2025-03-25,2025-04-08,2025-04-04,10,0,0.0,1
L000178,20250129,2025-01-29,190,11,5,2,2025-01-29,2025-02-26,2025-03-11,41,13,3.9,1
L000179,20250416,2025-04-16,50,3,3,1,2025-04-16,2025-04-30,2025-04-30,14,0,0.0,1
L000180,20241223,2024-12-23,61,59,1,8,2024-12-23,2025-01-20,2025-02-08,47,19,5.7,1
L000181,20260330,2026-03-30,307,17,4,3,2026-03-30,2026-04-27,2026-04-27,28,0,0.0,1
L000182,20250310,2025-03-10,187,41,2,6,2025-03-10,2025-03-24,2025-03-24,14,0,0.0,1
L000183,20251011,2025-10-11,211,40,5,5,2025-10-11,2025-10-25,2025-10-22,11,0,0.0,1
L000184,20260123,2026-01-23,172,46,3,6,2026-01-23,2026-02-06,2026-02-25,33,19,5.7,1
L000185,20260121,2026-01-21,227,46,5,6,2026-01-21,2026-02-04,2026-02-04,14,0,0.0,1
L000186,20250610,2025-06-10,305,11,1,2,2025-06-10,2025-07-08,2025-07-24,44,19,5.7,1
L000187,20250630,2025-06-30,259,11,4,2,2025-06-30,2025-07-14,2025-07-22,22,8,2.4,1
L000188,20260529,2026-05-29,95,4,3,1,2026-05-29,2026-06-12,,2,0,0.0,1
L000189,20251211,2025-12-11,242,38,5,5,2025-12-11,2025-12-25,2025-12-25,14,0,0.0,1
L000190,20260209,2026-02-09,223,14,4,2,2026-02-09,2026-03-09,2026-03-09,28,0,0.0,1
L000191,20260422,2026-04-22,262,65,4,9,2026-04-22,2026-05-06,2026-05-04,12,0,0.0,1
L000192,20260122,2026-01-22,69,64,6,8,2026-01-22,2026-02-05,2026-02-19,28,14,4.2,1
L000193,20250105,2025-01-05,88,4,2,1,2025-01-05,2025-02-02,2025-02-02,28,0,0.0,1
L000194,20251012,2025-10-12,254,12,4,2,2025-10-12,2025-10-26,2025-10-26,14,0,0.0,1
L000195,20241122,2024-11-22,153,25,2,4,2024-11-22,2024-12-20,2024-12-20,28,0,0.0,1
L000196,20251203,2025-12-03,299,2,5,1,2025-12-03,2025-12-17,2025-12-31,28,15,4.5,1
L000197,20260515,2026-05-15,187,41,2,6,2026-05-15,2026-05-29,2026-05-29,14,0,0.0,1
L000198,20250910,2025-09-10,128,46,1,6,2025-09-10,2025-09-24,2025-09-24,14,0,0.0,1
L000199,20250607,2025-06-07,309,11,1,2,2025-06-07,2025-06-21,2025-06-21,14,1,0.3,1
L000200,20240927,2024-09-27,194,25,2,4,2024-09-27,2024-10-25,2024-10-23,26,0,0.0,1
L000201,20260518,2026-05-18,89,29,1,4,2026-05-18,2026-06-01,,13,0,0.0,1
L000202,20241125,2024-11-25,370,49,1,7,2024-11-25,2024-12-23,2024-12-23,28,0,0.0,1
L000203,20241001,2024-10-01,213,43,1,6,2024-10-01,2024-10-15,2024-10-15,14,0,0.0,1
L000204,20250203,2025-02-03,414,1,1,1,2025-02-03,2025-02-17,2025-02-17,14,0,0.0,1
L000205,20241019,2024-10-19,114,42,4,6,2024-10-19,2024-11-02,2024-11-02,14,0,0.0,1
L000206,20250616,2025-06-16,398,41,1,6,2025-06-16,2025-07-14,2025-07-14,28,0,0.0,1
L000207,20250912,2025-09-12,373,15,6,2,2025-09-12,2025-09-26,2025-09-23,11,0,0.0,1
L000208,20250407,2025-04-07,64,9,5,2,2025-04-07,2025-04-21,2025-04-20,13,0,0.0,1
L000209,20241009,2024-10-09,255,28,1,4,2024-10-09,2024-11-06,2024-11-06,28,0,0.0,1
L000210,20241202,2024-12-02,307,11,5,2,2024-12-02,2024-12-30,2024-12-30,28,0,0.0,1
L000211,20250519,2025-05-19,244,17,6,3,2025-05-19,2025-06-02,2025-05-29,10,0,0.0,1
L000212,20241016,2024-10-16,194,4,6,1,2024-10-16,2024-11-13,2024-11-13,28,0,0.0,1
L000213,20251220,2025-12-20,426,51,5,7,2025-12-20,2026-01-03,2026-01-03,14,0,0.0,1
L000214,20250114,2025-01-14,324,1,2,1,2025-01-14,2025-02-11,2025-02-11,28,0,0.0,1
L000215,20250327,2025-03-27,435,31,4,4,2025-03-27,2025-04-10,2025-04-10,14,0,0.0,1
L000216,20250523,2025-05-23,389,20,4,3,2025-05-23,2025-06-06,2025-06-06,14,0,0.0,1
L000217,20250601,2025-06-01,373,17,5,3,2025-06-01,2025-06-15,2025-06-11,10,0,0.0,1
L000218,20240902,2024-09-02,334,20,3,3,2024-09-02,2024-09-16,2024-09-12,10,0,0.0,1
L000219,20241202,2024-12-02,306,33,2,5,2024-12-02,2024-12-30,2024-12-30,28,0,0.0,1
L000220,20260320,2026-03-20,402,41,4,6,2026-03-20,2026-04-17,2026-04-17,28,0,0.0,1
L000221,20240902,2024-09-02,294,2,4,1,2024-09-02,2024-09-30,2024-10-09,37,12,3.6,1
L000222,20250908,2025-09-08,49,17,1,3,2025-09-08,2025-10-06,2025-10-06,28,0,0.0,1
L000223,20250808,2025-08-08,280,56,1,7,2025-08-08,2025-09-05,2025-09-17,40,12,3.6,1
L000224,20250425,2025-04-25,63,65,1,9,2025-04-25,2025-05-23,2025-05-23,28,0,0.0,1
L000225,20250606,2025-06-06,427,19,3,3,2025-06-06,2025-06-20,2025-06-24,18,6,1.8,1
L000226,20260120,2026-01-20,306,25,2,4,2026-01-20,2026-02-17,2026-02-17,28,0,0.0,1
L000227,20260303,2026-03-03,265,69,1,9,2026-03-03,2026-03-31,2026-03-31,28,0,0.0,1
L000228,20250216,2025-02-16,115,42,1,6,2025-02-16,2025-03-02,2025-03-02,14,0,0.0,1
L000229,20250416,2025-04-16,251,42,1,6,2025-04-16,2025-04-30,2025-04-30,14,0,0.0,1
L000230,20250130,2025-01-30,178,66,1,9,2025-01-30,2025-02-13,2025-02-12,13,0,0.0,1
L000231,20250709,2025-07-09,318,41,5,6,2025-07-09,2025-07-23,2025-08-05,27,13,3.9,1
L000232,20251215,2025-12-15,292,4,3,1,2025-12-15,2026-01-12,2026-01-12,28,0,0.0,1
L000233,20250122,2025-01-22,246,49,2,7,2025-01-22,2025-02-19,2025-02-19,28,0,0.0,1
L000234,20250424,2025-04-24,139,1,1,1,2025-04-24,2025-05-08,2025-05-07,13,0,0.0,1
L000235,20260507,2026-05-07,253,3,6,1,2026-05-07,2026-05-21,2026-05-29,22,8,2.4,1
L000236,20241007,2024-10-07,224,69,2,9,2024-10-07,2024-10-21,2024-10-23,16,2,0.6,1
L000237,20250618,2025-06-18,392,4,2,1,2025-06-18,2025-07-02,2025-07-05,17,5,1.5,1
L000238,20251225,2025-12-25,403,9,2,2,2025-12-25,2026-01-22,2026-01-22,28,0,0.0,1
L000239,20241220,2024-12-20,348,36,3,5,2024-12-20,2025-01-17,2025-01-17,28,0,0.0,1
L000240,20241006,2024-10-06,165,41,1,6,2024-10-06,2024-11-03,2024-11-11,36,8,2.4,1
L000241,20241214,2024-12-14,21,65,4,9,2024-12-14,2024-12-28,2024-12-25,11,0,0.0,1
L000242,20260503,2026-05-03,418,11,1,2,2026-05-03,2026-05-31,,28,0,0.0,1
L000243,20240907,2024-09-07,449,43,2,6,2024-09-07,2024-10-05,2024-10-05,28,0,0.0,1
L000244,20250106,2025-01-06,71,51,3,7,2025-01-06,2025-01-20,2025-01-20,14,0,0.0,1
L000245,20240924,2024-09-24,321,17,5,3,2024-09-24,2024-10-08,2024-10-08,14,0,0.0,1
L000246,20241202,2024-12-02,209,34,5,5,2024-12-02,2024-12-16,2024-12-16,14,0,0.0,1
L000247,20251119,2025-11-19,87,4,6,1,2025-11-19,2025-12-03,2025-12-03,14,0,0.0,1
L000248,20250129,2025-01-29,450,41,2,6,2025-01-29,2025-02-12,2025-02-12,14,0,0.0,1
L000249,20251016,2025-10-16,421,66,2,9,2025-10-16,2025-11-13,2025-11-13,28,0,0.0,1
L000250,20251029,2025-10-29,442,48,5,6,2025-10-29,2025-11-12,2025-11-12,14,0,0.0,1
L000251,20260310,2026-03-10,85,41,2,6,2026-03-10,2026-03-24,2026-03-24,14,0,0.0,1
L000252,20240904,2024-09-04,242,67,1,9,2024-09-04,2024-09-18,2024-09-18,14,0,0.0,1
L000253,20260312,2026-03-12,404,2,3,1,2026-03-12,2026-04-09,2026-04-09,28,0,0.0,1
L000254,20251119,2025-11-19,318,41,5,6,2025-11-19,2025-12-03,2025-12-19,30,16,4.8,1
L000255,20241226,2024-12-26,213,41,1,6,2024-12-26,2025-01-09,2025-01-09,14,0,0.0,1
L000256,20260116,2026-01-16,251,46,5,6,2026-01-16,2026-01-30,2026-01-28,12,0,0.0,1
L000257,20260314,2026-03-14,22,40,3,5,2026-03-14,2026-03-28,2026-03-25,11,0,0.0,1
L000258,20250210,2025-02-10,294,4,1,1,2025-02-10,2025-03-10,2025-03-07,25,0,0.0,1
