reservation_id,date_id,event_date,user_id,book_id,branch_id,category_id,reservation_status,wait_days,quantity
R000055,20250218,2025-02-18,71,11,3,2,fulfilled,0,1
R000056,20250309,2025-03-09,315,31,1,4,fulfilled,1,1
R000057,20251230,2025-12-30,215,47,1,6,cancelled,2,1
R000058,20260502,2026-05-02,234,1,6,1,fulfilled,14,1
R000059,20241111,2024-11-11,306,33,2,5,fulfilled,0,1
R000060,20260427,2026-04-27,431,23,3,3,fulfilled,0,1
R000061,20250919,2025-09-19,449,52,5,7,pending,6,1
R000062,20240916,2024-09-16,190,51,3,7,fulfilled,0,1
R000063,20241018,2024-10-18,348,64,5,8,fulfilled,10,1
R000064,20260116,2026-01-16,14,68,4,9,fulfilled,10,1
R000065,20251022,2025-10-22,301,53,1,7,fulfilled,0,1
R000066,20250410,2025-04-10,249,60,3,8,fulfilled,0,1
R000067,20251211,2025-12-11,348,27,5,4,fulfilled,16,1
R000068,20251223,2025-12-23,275,42,3,6,pending,8,1
R000069,20260522,2026-05-22,279,2,1,1,pending,6,1
R000070,20250501,2025-05-01,353,1,5,1,cancelled,7,1
R000071,20251222,2025-12-22,4,17,1,3,cancelled,12,1
R000072,20251016,2025-10-16,344,11,6,2,fulfilled,0,1
R000073,20260114,2026-01-14,275,59,3,8,fulfilled,0,1
R000074,20260514,2026-05-14,89,31,5,4,pending,5,1
R000075,20240925,2024-09-25,138,31,1,4,fulfilled,4,1
R000076,20250604,2025-06-04,155,40,1,5,fulfilled,7,1
R000077,20250113,2025-01-13,398,41,2,6,cancelled,9,1
R000078,20251112,2025-11-12,395,71,1,9,fulfilled,0,1
R000079,20260125,2026-01-25,405,17,1,3,cancelled,9,1
R000080,20260415,2026-04-15,362,9,1,2,fulfilled,6,1
R000081,20260123,2026-01-23,400,2,2,1,fulfilled,4,1
R000082,20251215,2025-12-15,437,49,3,7,fulfilled,0,1
R000083,20250129,2025-01-29,362,30,1,4,fulfilled,2,1
R000084,20260105,2026-01-05,263,25,5,4,fulfilled,31,1
R000085,20250509,2025-05-09,350,63,1,8,fulfilled,4,1
R000086,20250617,2025-06-17,194,63,1,8,fulfilled,6,1
R000087,20260302,2026-03-02,292,1,1,1,fulfilled,6,1
R000088,20251017,2025-10-17,395,50,1,7,fulfilled,0,1
R000089,20251208,2025-12-08,95,18,2,3,cancelled,5,1
R000090,20260420,2026-04-20,113,70,2,9,fulfilled,0,1
R000091,20250428,2025-04-28,397,65,4,9,fulfilled,0,1
R000092,20250113,2025-01-13,180,4,2,1,fulfilled,3,1
R000093,20260105,2026-01-05,95,26,1,4,fulfilled,8,1
R000094,20251010,2025-10-10,41,72,1,9,fulfilled,0,1
R000095,20251204,2025-12-04,204,19,4,3,pending,2,1
R000096,20260521,2026-05-21,265,46,3,6,fulfilled,0,1
R000097,20260513,2026-05-13,191,46,1,6,fulfilled,8,1
R000098,20250204,2025-02-04,292,19,4,3,fulfilled,28,1
R000099,20250626,2025-06-26,327,70,1,9,fulfilled,0,1
R000100,20250606,2025-06-06,123,54,2,7,fulfilled,4,1
R000101,20260303,2026-03-03,87,13,3,2,fulfilled,0,1
R000102,20250127,2025-01-27,324,36,2,5,fulfilled,0,1
R000103,20241024,2024-10-24,301,55,1,7,fulfilled,0,1
R000104,20260113,2026-01-13,352,2,2,1,fulfilled,20,1
R000105,20260513,2026-05-13,84,9,6,2,fulfilled,3,1
R000106,20241201,2024-12-01,153,58,2,8,fulfilled,4,1
R000107,20240912,2024-09-12,398,30,2,4,fulfilled,0,1
R000108,20260123,2026-01-23,114,64,2,8,fulfilled,14,1
R000109,20260406,2026-04-06,48,35,1,5,fulfilled,6,1
R000110,20250618,2025-06-18,108,11,1,2,pending,16,1
R000111,20251013,2025-10-13,265,42,3,6,fulfilled,0,1
R000112,20250903,2025-09-03,129,46,6,6,fulfilled,0,1
R000113,20251223,2025-12-23,390,27,3,4,fulfilled,0,1
R000114,20251216,2025-12-16,252,49,2,7,fulfilled,7,1
R000115,20241014,2024-10-14,192,49,6,7,fulfilled,0,1
R000116,20250624,2025-06-24,187,47,2,6,fulfilled,0,1
R000117,20250203,2025-02-03,141,3,5,1,fulfilled,5,1
R000118,20250422,2025-04-22,421,63,2,8,fulfilled,0,1
R000119,20250708,2025-07-08,309,67,2,9,cancelled,0,1
R000120,20250420,2025-04-20,398,44,2,6,fulfilled,0,1
R000121,20241220,2024-12-20,435,26,4,4,fulfilled,10,1
R000122,20250428,2025-04-28,348,23,5,3,fulfilled,3,1
R000123,20260118,2026-01-18,294,31,1,4,fulfilled,7,1
R000124,20251120,2025-11-20,430,41,3,6,pending,0,1
R000125,20250224,2025-02-24,391,4,6,1,pending,2,1
R000126,20260301,2026-03-01,234,31,1,4,fulfilled,12,1
R000127,20260504,2026-05-04,249,33,3,5,pending,6,1
R000128,20250217,2025-02-17,316,51,3,7,fulfilled,0,1
R000129,20260114,2026-01-14,340,63,2,8,fulfilled,5,1
R000130,20240926,2024-09-26,114,42,2,6,fulfilled,1,1
R000131,20260514,2026-05-14,162,40,1,5,cancelled,16,1
R000132,20241020,2024-10-20,389,43,6,6,fulfilled,0,1
R000133,20260408,2026-04-08,417,32,5,4,fulfilled,0,1
R000134,20250926,2025-09-26,320,30,1,4,fulfilled,4,1
R000135,20250422,2025-04-22,270,40,3,5,fulfilled,0,1
R000136,20260525,2026-05-25,71,28,3,4,fulfilled,0,1
R000137,20260116,2026-01-16,346,33,2,5,fulfilled,2,1
R000138,20260103,2026-01-03,261,12,1,2,cancelled,14,1
R000139,20251216,2025-12-16,372,41,1,6,cancelled,11,1
R000140,20251204,2025-12-04,129,64,2,8,fulfilled,10,1
R000141,20251124,2025-11-24,296,64,5,8,fulfilled,10,1
R000142,20260207,2026-02-07,129,44,5,6,fulfilled,0,1
R000143,20250117,2025-01-17,101,56,5,7,fulfilled,12,1
R000144,20241204,2024-12-04,227,44,6,6,fulfilled,0,1
R000145,20250923,2025-09-23,267,12,2,2,fulfilled,4,1
R000146,20260419,2026-04-19,412,18,1,3,fulfilled,7,1
R000147,20251107,2025-11-07,414,4,1,1,fulfilled,13,1
R000148,20251117,2025-11-17,340,67,2,9,fulfilled,0,1
R000149,20260118,2026-01-18,155,33,1,5,fulfilled,5,1
R000150,20251216,2025-12-16,373,14,4,2,fulfilled,3,1
R000151,20241221,2024-12-21,31,2,6,1,fulfilled,0,1
R000152,20250121,2025-01-21,254,1,4,1,cancelled,15,1
R000153,20250503,2025-05-03,252,11,5,2,pending,8,1
R000154,20260310,2026-03-10,331,65,6,9,fulfilled,0,1
R000155,20251217,2025-12-17,129,41,2,6,fulfilled,9,1
R000156,20251224,2025-12-24,399,4,3,1,pending,18,1
R000157,20250221,2025-02-21,84,15,1,2,cancelled,6,1
R000158,20251207,2025-12-07,71,50,3,7,fulfilled,0,1
R000159,20251207,2025-12-07,203,6,1,1,pending,10,1
R000160,20260118,2026-01-18,320,31,5,4,pending,7,1
R000161,20260519,2026-05-19,234,19,3,3,cancelled,13,1
R000162,20260404,2026-04-04,58,11,4,2,cancelled,21,1
R000163,20251205,2025-12-05,242,64,1,8,fulfilled,4,1
R000164,20251021,2025-10-21,126,47,2,6,cancelled,2,1
R000165,20260514,2026-05-14,450,43,2,6,fulfilled,3,1
R000166,20250517,2025-05-17,309,63,2,8,fulfilled,12,1
R000167,20250616,2025-06-16,156,26,1,4,fulfilled,0,1
R000168,20250124,2025-01-24,362,12,1,2,fulfilled,11,1
R000169,20260108,2026-01-08,72,19,5,3,fulfilled,29,1
R000170,20251001,2025-10-01,285,36,5,5,fulfilled,1,1
R000171,20250607,2025-06-07,14,35,4,5,fulfilled,4,1
R000172,20250122,2025-01-22,97,1,5,1,cancelled,19,1
R000173,20250618,2025-06-18,442,46,3,6,fulfilled,0,1
R000174,20251118,2025-11-18,195,30,4,4,fulfilled,5,1
R000175,20251222,2025-12-22,87,17,6,3,fulfilled,5,1
R000176,20260424,2026-04-24,169,57,5,8,fulfilled,0,1
R000177,20250527,2025-05-27,358,17,2,3,pending,4,1
R000178,20250401,2025-04-01,298,51,5,7,fulfilled,4,1
R000179,20260109,2026-01-09,23,51,6,7,fulfilled,0,1
R000180,20250529,2025-05-29,302,51,5,7,cancelled,2,1
R000181,20251118,2025-11-18,425,13,1,2,fulfilled,6,1
R000182,20251205,2025-12-05,240,69,2,9,fulfilled,0,1
R000183,20240927,2024-09-27,17,11,1,2,fulfilled,4,1
R000184,20260109,2026-01-09,71,52,3,7,fulfilled,0,1
R000185,20260503,2026-05-03,338,39,1,5,fulfilled,6,1
R000186,20250101,2025-01-01,321,27,1,4,fulfilled,8,1
R000187,20251210,2025-12-10,186,43,3,6,fulfilled,0,1
R000188,20251027,2025-10-27,220,35,5,5,fulfilled,5,1
R000189,20250130,2025-01-30,257,51,5,7,fulfilled,9,1
R000190,20241220,2024-12-20,55,42,2,6,pending,28,1
R000191,20241216,2024-12-16,363,41,5,6,fulfilled,8,1
R000192,20240905,2024-09-05,128,42,2,6,fulfilled,6,1
R000193,20250520,2025-05-20,87,14,5,2,pending,9,1
R000194,20250609,2025-06-09,138,4,4,1,pending,5,1
R000195,20250913,2025-09-13,26,39,6,5,fulfilled,0,1
R000196,20260529,2026-05-29,418,71,6,9,fulfilled,0,1
R000197,20241220,2024-12-20,345,4,4,1,pending,6,1
R000198,20260110,2026-01-10,224,33,2,5,fulfilled,1,1
R000199,20260514,2026-05-14,306,22,2,3,cancelled,15,1
R000200,20260213,2026-02-13,426,25,5,4,fulfilled,17,1
R000201,20250501,2025-05-01,262,64,4,8,fulfilled,8,1
R000202,20250604,2025-06-04,269,51,1,7,fulfilled,24,1
R000203,20250915,2025-09-15,16,63,1,8,fulfilled,0,1
R000204,20260122,2026-01-22,198,26,2,4,fulfilled,1,1
R000205,20250107,2025-01-07,314,17,3,3,fulfilled,7,1
R000206,20250514,2025-05-14,152,47,3,6,fulfilled,0,1
R000207,20250612,2025-06-12,404,54,3,7,fulfilled,0,1
R000208,20251114,2025-11-14,294,58,5,8,fulfilled,0,1
R000209,20251221,2025-12-21,260,26,1,4,fulfilled,1,1
R000210,20250618,2025-06-18,129,25,6,4,fulfilled,0,1
R000211,20251222,2025-12-22,234,28,1,4,fulfilled,5,1
R000212,20241007,2024-10-07,134,35,1,5,fulfilled,7,1
R000213,20250911,2025-09-11,370,31,1,4,fulfilled,3,1
R000214,20251225,2025-12-25,233,12,1,2,fulfilled,6,1
R000215,20241122,2024-11-22,399,17,3,3,fulfilled,0,1
R000216,20251222,2025-12-22,273,62,5,8,fulfilled,5,1
R000217,20251226,2025-12-26,314,1,4,1,cancelled,24,1
R000218,20251218,2025-12-18,129,58,6,8,fulfilled,0,1
R000219,20260522,2026-05-22,183,56,1,7,pending,4,1
R000220,20260423,2026-04-23,316,4,3,1,fulfilled,0,1
R000221,20260314,2026-03-14,371,9,6,2,fulfilled,0,1
R000222,20241028,2024-10-28,325,42,1,6,fulfilled,2,1
R000223,20260518,2026-05-18,436,36,1,5,pending,9,1
R000224,20260406,2026-04-06,87,22,6,3,fulfilled,0,1
R000225,20251020,2025-10-20,88,9,2,2,pending,4,1
R000226,20260121,2026-01-21,196,25,2,4,fulfilled,16,1
R000227,20260121,2026-01-21,164,41,2,6,cancelled,3,1
R000228,20260128,2026-01-28,53,19,2,3,fulfilled,5,1
R000229,20251218,2025-12-18,307,5,2,1,cancelled,8,1
R000230,20251119,2025-11-19,294,17,1,3,pending,10,1
R000231,20251013,2025-10-13,101,20,5,3,fulfilled,3,1
R000232,20260107,2026-01-07,294,4,1,1,pending,5,1
R000233,20260223,2026-02-23,443,14,5,2,fulfilled,4,1
R000234,20250903,2025-09-03,242,67,4,9,fulfilled,0,1
R000235,20250621,2025-06-21,324,12,2,2,cancelled,3,1
R000236,20260407,2026-04-07,296,63,1,8,cancelled,1,1
R000237,20250321,2025-03-21,146,35,2,5,fulfilled,4,1
R000238,20240920,2024-09-20,274,52,5,7,fulfilled,8,1
R000239,20241122,2024-11-22,289,69,1,9,pending,7,1
R000240,20250618,2025-06-18,421,71,1,9,fulfilled,3,1
R000241,20241127,2024-11-27,389,42,2,6,fulfilled,9,1
R000242,20260529,2026-05-29,198,67,3,9,fulfilled,0,1
R000243,20260122,2026-01-22,402,1,5,1,pending,5,1
R000244,20250312,2025-03-12,139,25,1,4,fulfilled,3,1
R000245,20250428,2025-04-28,234,35,1,5,fulfilled,4,1
R000246,20250529,2025-05-29,378,4,5,1,pending,18,1
R000247,20241030,2024-10-30,283,3,1,1,fulfilled,6,1
R000248,20250122,2025-01-22,301,9,1,2,pending,23,1
R000249,20240902,2024-09-02,332,64,1,8,pending,7,1
R000250,20251225,2025-12-25,449,54,1,7,fulfilled,3,1
R000251,20241008,2024-10-08,155,23,6,3,fulfilled,0,1
R000252,20250114,2025-01-14,398,41,2,6,fulfilled,4,1
R000253,20260122,2026-01-22,181,23,5,3,cancelled,7,1
R000254,20250619,2025-06-19,234,7,1,1,fulfilled,1,1
R000255,20251015,2025-10-15,344,17,2,3,cancelled,4,1
R000256,20251219,2025-12-19,167,40,2,5,cancelled,5,1
R000257,20260531,2026-05-31,301,19,1,3,fulfilled,13,1
R000258,20250213,2025-02-13,397,35,4,5,fulfilled,8,1
R000259,20250608,2025-06-08,310,43,5,6,pending,3,1
R000260,20251120,2025-11-20,324,63,1,8,fulfilled,5,1
R000261,20251030,2025-10-30,160,63,4,8,fulfilled,0,1
R000262,20240908,2024-09-08,397,35,4,5,fulfilled,6,1
R000263,20240902,2024-09-02,125,25,5,4,pending,4,1
R000264,20251208,2025-12-08,99,2,3,1,fulfilled,0,1
R000265,20241119,2024-11-19,70,49,1,7,fulfilled,6,1
R000266,20251128,2025-11-28,217,14,3,2,fulfilled,0,1
R000267,20251210,2025-12-10,389,4,6,1,fulfilled,4,1
R000268,20260403,2026-04-03,274,36,5,5,fulfilled,2,1
R000269,20250627,2025-06-27,256,60,2,8,fulfilled,0,1
R000270,20260215,2026-02-15,213,28,1,4,fulfilled,4,1
R000271,20250521,2025-05-21,368,52,5,7,cancelled,5,1
R000272,20260505,2026-05-05,93,30,2,4,fulfilled,20,1
R000273,20241110,2024-11-10,267,24,5,3,fulfilled,0,1
R000274,20250915,2025-09-15,44,69,1,9,fulfilled,0,1
R000275,20260415,2026-04-15,352,63,5,8,fulfilled,0,1
R000276,20250906,2025-09-06,362,11,1,2,cancelled,13,1
R000277,20260203,2026-02-03,65,29,2,4,fulfilled,0,1
R000278,20250618,2025-06-18,363,43,5,6,pending,17,1
R000279,20250527,2025-05-27,125,9,5,2,fulfilled,22,1
R000280,20251104,2025-11-04,406,47,4,6,fulfilled,0,1
R000281,20260427,2026-04-27,249,35,3,5,pending,1,1
R000282,20260420,2026-04-20,185,41,2,6,fulfilled,2,1
R000283,20251230,2025-12-30,322,41,1,6,fulfilled,29,1
R000284,20250924,2025-09-24,75,40,6,5,fulfilled,0,1
R000285,20250821,2025-08-21,307,9,2,2,fulfilled,6,1
R000286,20250603,2025-06-03,234,26,1,4,fulfilled,5,1
R000287,20260509,2026-05-09,215,29,1,4,pending,3,1
R000288,20260112,2026-01-12,86,40,5,5,cancelled,6,1
R000289,20250221,2025-02-21,355,41,4,6,fulfilled,11,1
R000290,20260424,2026-04-24,248,58,2,8,cancelled,1,1
R000291,20241028,2024-10-28,3,28,1,4,fulfilled,2,1
R000292,20241205,2024-12-05,187,41,2,6,pending,6,1
R000293,20251201,2025-12-01,421,70,2,9,fulfilled,0,1
R000294,20250901,2025-09-01,189,41,1,6,fulfilled,7,1
R000295,20250420,2025-04-20,187,42,2,6,fulfilled,8,1
R000296,20250621,2025-06-21,96,69,5,9,pending,4,1
R000297,20250701,2025-07-01,213,41,2,6,fulfilled,13,1
R000298,20251216,2025-12-16,85,12,2,2,fulfilled,7,1
R000299,20250113,2025-01-13,348,56,3,7,fulfilled,0,1
R000300,20251231,2025-12-31,304,40,1,5,cancelled,3,1
R000301,20251112,2025-11-12,143,59,3,8,fulfilled,0,1
R000302,20240906,2024-09-06,71,14,1,2,fulfilled,10,1
R000303,20250907,2025-09-07,321,25,1,4,fulfilled,13,1
R000304,20241030,2024-10-30,7,53,6,7,fulfilled,0,1
R000305,20250819,2025-08-19,441,3,1,1,fulfilled,5,1
R000306,20250321,2025-03-21,120,60,3,8,fulfilled,0,1
R000307,20250916,2025-09-16,88,11,2,2,fulfilled,12,1
R000308,20250522,2025-05-22,71,56,3,7,fulfilled,0,1
R000309,20250531,2025-05-31,347,67,2,9,fulfilled,0,1
R000310,20250515,2025-05-15,437,60,3,8,fulfilled,0,1
R000311,20260119,2026-01-19,324,36,2,5,fulfilled,9,1
R000312,20250521,2025-05-21,402,41,5,6,cancelled,12,1
R000313,20250614,2025-06-14,183,41,1,6,fulfilled,4,1
R000314,20260113,2026-01-13,86,58,5,8,cancelled,17,1
R000315,20251201,2025-12-01,304,66,6,9,fulfilled,0,1
R000316,20250102,2025-01-02,164,43,2,6,fulfilled,8,1
R000317,20260124,2026-01-24,194,20,1,3,fulfilled,3,1
R000318,20251203,2025-12-03,396,11,6,2,fulfilled,6,1
R000319,20250912,2025-09-12,194,15,1,2,fulfilled,6,1
R000320,20251021,2025-10-21,17,31,1,4,fulfilled,2,1
R000321,20251025,2025-10-25,252,11,2,2,fulfilled,6,1
R000322,20250630,2025-06-30,162,35,3,5,fulfilled,0,1
R000323,20241228,2024-12-28,159,21,4,3,fulfilled,6,1
R000324,20250606,2025-06-06,398,37,2,5,fulfilled,9,1
R000325,20241230,2024-12-30,206,56,2,7,fulfilled,2,1
R000326,20260403,2026-04-03,449,30,1,4,pending,6,1
R000327,20260526,2026-05-26,54,64,6,8,fulfilled,0,1
R000328,20260213,2026-02-13,338,51,5,7,fulfilled,9,1
R000329,20260207,2026-02-07,378,17,5,3,fulfilled,9,1
R000330,20241230,2024-12-30,300,19,4,3,cancelled,17,1
R000331,20250313,2025-03-13,52,68,3,9,fulfilled,0,1
R000332,20250513,2025-05-13,4,40,1,5,cancelled,11,1
R000333,20250920,2025-09-20,372,42,5,6,fulfilled,10,1
R000334,20251126,2025-11-26,419,66,1,9,fulfilled,5,1
R000335,20250207,2025-02-07,404,52,3,7,fulfilled,0,1
R000336,20251009,2025-10-09,279,1,4,1,fulfilled,4,1
R000337,20251231,2025-12-31,161,15,3,2,fulfilled,0,1
R000338,20250118,2025-01-18,143,62,3,8,fulfilled,0,1
R000339,20260422,2026-04-22,362,22,1,3,fulfilled,0,1
R000340,20250626,2025-06-26,378,50,5,7,fulfilled,0,1
R000341,20260202,2026-02-02,305,26,6,4,fulfilled,0,1
R000342,20250527,2025-05-27,449,9,1,2,fulfilled,7,1
R000343,20250619,2025-06-19,431,20,1,3,fulfilled,4,1
R000344,20260218,2026-02-18,12,50,5,7,fulfilled,0,1
R000345,20250303,2025-03-03,265,3,5,1,cancelled,25,1
R000346,20241213,2024-12-13,373,19,4,3,fulfilled,16,1
R000347,20260512,2026-05-12,396,64,6,8,fulfilled,0,1
R000348,20251010,2025-10-10,128,45,6,6,fulfilled,0,1
R000349,20250429,2025-04-29,316,50,3,7,fulfilled,0,1
R000350,20250903,2025-09-03,196,51,2,7,pending,6,1
R000351,20250926,2025-09-26,438,63,2,8,fulfilled,0,1
R000352,20251231,2025-12-31,111,36,5,5,fulfilled,2,1
R000353,20260321,2026-03-21,244,19,6,3,fulfilled,0,1
R000354,20250411,2025-04-11,300,14,4,2,fulfilled,0,1
R000355,20250627,2025-06-27,270,55,5,7,fulfilled,0,1
R000356,20241123,2024-11-23,352,63,2,8,fulfilled,0,1
R000357,20260126,2026-01-26,278,49,1,7,fulfilled,6,1
R000358,20250520,2025-05-20,294,17,1,3,pending,27,1
R000359,20250225,2025-02-25,384,40,3,5,fulfilled,0,1
R000360,20251221,2025-12-21,70,66,1,9,cancelled,2,1
R000361,20251208,2025-12-08,362,4,1,1,fulfilled,9,1
R000362,20240904,2024-09-04,243,49,1,7,fulfilled,3,1
R000363,20260212,2026-02-12,321,3,5,1,cancelled,10,1
R000364,20250330,2025-03-30,296,37,5,5,fulfilled,0,1
R000365,20260114,2026-01-14,183,52,1,7,cancelled,36,1
R000366,20250617,2025-06-17,164,25,2,4,fulfilled,10,1
R000367,20250212,2025-02-12,94,39,4,5,fulfilled,0,1
R000368,20260505,2026-05-05,103,41,2,6,fulfilled,2,1
R000369,20250509,2025-05-09,132,31,3,4,fulfilled,0,1
R000370,20260511,2026-05-11,67,45,2,6,fulfilled,0,1
R000371,20260305,2026-03-05,294,1,1,1,cancelled,17,1
R000372,20250527,2025-05-27,183,25,5,4,pending,12,1
R000373,20260108,2026-01-08,340,66,2,9,fulfilled,0,1
R000374,20251224,2025-12-24,449,31,1,4,fulfilled,5,1
R000375,20241221,2024-12-21,271,56,3,7,fulfilled,0,1
R000376,20250910,2025-09-10,196,19,2,3,fulfilled,3,1
R000377,20250903,2025-09-03,156,58,1,8,fulfilled,0,1
R000378,20250109,2025-01-09,145,31,2,4,fulfilled,4,1
R000379,20260227,2026-02-27,129,15,6,2,fulfilled,0,1
R000380,20250415,2025-04-15,220,40,4,5,cancelled,21,1
R000381,20260521,2026-05-21,113,67,1,9,pending,3,1
R000382,20250520,2025-05-20,101,54,5,7,fulfilled,14,1
R000383,20241011,2024-10-11,10,51,4,7,fulfilled,5,1
R000384,20251029,2025-10-29,180,25,1,4,fulfilled,25,1
R000385,20260122,2026-01-22,18,19,1,3,pending,20,1
R000386,20251117,2025-11-17,129,46,6,6,fulfilled,0,1
R000387,20241015,2024-10-15,225,55,2,7,fulfilled,0,1
R000388,20260127,2026-01-27,70,63,1,8,pending,3,1
R000389,20260106,2026-01-06,200,4,5,1,fulfilled,8,1
R000390,20250110,2025-01-10,332,35,1,5,pending,2,1
R000391,20260109,2026-01-09,138,49,4,7,fulfilled,6,1
R000392,20241008,2024-10-08,4,40,1,5,pending,1,1
R000393,20260102,2026-01-02,2,40,1,5,cancelled,32,1
R000394,20250513,2025-05-13,344,19,2,3,fulfilled,9,1
R000395,20250930,2025-09-30,319,64,5,8,fulfilled,3,1
R000396,20250501,2025-05-01,441,52,1,7,cancelled,6,1
R000397,20250818,2025-08-18,220,60,1,8,fulfilled,0,1
R000398,20260103,2026-01-03,307,50,2,7,fulfilled,3,1
R000399,20240923,2024-09-23,317,42,1,6,fulfilled,6,1
R000400,20260421,2026-04-21,95,28,2,4,fulfilled,0,1
R000401,20250619,2025-06-19,115,42,1,6,cancelled,10,1
R000402,20250614,2025-06-14,333,19,1,3,cancelled,5,1
R000403,20250602,2025-06-02,50,1,3,1,pending,5,1
R000404,20260521,2026-05-21,34,54,2,7,fulfilled,16,1
R000405,20260109,2026-01-09,443,35,5,5,fulfilled,25,1
R000406,20260303,2026-03-03,282,14,5,2,fulfilled,14,1
R000407,20250408,2025-04-08,155,63,1,8,fulfilled,0,1
R000408,20260504,2026-05-04,296,62,5,8,pending,7,1
R000409,20250919,2025-09-19,390,3,2,1,pending,2,1
R000410,20260513,2026-05-13,203,66,1,9,pending,7,1
R000411,20250107,2025-01-07,370,45,1,6,pending,17,1
R000412,20260505,2026-05-05,319,56,4,7,fulfilled,4,1
R000413,20241109,2024-11-09,147,36,1,5,fulfilled,8,1
R000414,20250619,2025-06-19,193,53,2,7,pending,7,1
R000415,20241212,2024-12-12,330,9,1,2,cancelled,20,1
R000416,20260122,2026-01-22,402,27,5,4,cancelled,2,1
R000417,20250122,2025-01-22,14,63,4,8,fulfilled,1,1
R000418,20250517,2025-05-17,234,9,1,2,cancelled,4,1
R000419,20250206,2025-02-06,191,4,1,1,pending,6,1
R000420,20260417,2026-04-17,373,4,5,1,pending,28,1
R000421,20260203,2026-02-03,361,19,1,3,fulfilled,5,1
R000422,20251013,2025-10-13,420,29,1,4,fulfilled,6,1
R000423,20260114,2026-01-14,320,30,5,4,fulfilled,6,1
R000424,20250120,2025-01-20,436,51,4,7,pending,2,1
R000425,20251026,2025-10-26,450,63,2,8,fulfilled,0,1
R000426,20250610,2025-06-10,301,42,1,6,pending,9,1
R000427,20250521,2025-05-21,20,42,6,6,fulfilled,0,1
R000428,20250824,2025-08-24,151,29,3,4,fulfilled,0,1
