book_id,isbn,title,author,category_id,category,genre,academic_level,language,publication_year,demand_tier,base_total_copies,book_count,popularity_score,total_copies,available_copies,active_loans,utilization_rate,availability_rate,out_of_stock_global
35,978-2-050035-891-4,Droit Européen des Données,Antoine Weber,5,Droit,Droit public / privé,Master,French,2023,high,24,1,1.87,61,13,48,0.7869,0.2131,False
36,978-2-050036-181-3,Propriété Intellectuelle Numérique,Mélanie Blanc,5,Droit,Droit public / privé,Master,French,2021,medium,16,1,0.85,67,32,35,0.5224,0.4776,False
37,978-2-050037-987-1,Institutions Juridiques,Michel André,5,Droit,Droit public / privé,Undergraduate,French,2019,medium,16,1,0.85,62,32,30,0.4839,0.5161,False
38,978-2-050038-489-4,Contrats et Responsabilité,Carole Meunier,5,Droit,Droit public / privé,Master,French,2020,medium,16,1,0.85,69,37,32,0.4638,0.5362,False
39,978-2-050039-564-5,Droit de la Santé,Hélène Roche,5,Droit,Droit public / privé,Master,French,2021,medium,16,1,0.85,68,38,30,0.4412,0.5588,False
40,978-2-050040-266-5,Legal Tech et Compliance,Eva Romano,5,Droit,Droit public / privé,Master,French,2024,high,24,1,1.87,65,12,53,0.8154,0.1846,False
41,978-2-060041-463-3,Santé Publique et Données,Dr. Anaïs Leroux,6,Santé,Médecine / Santé publique,Master,French,2023,high,24,1,1.65,74,16,58,0.7838,0.2162,False
42,978-2-060042-786-4,Épidémiologie Pratique,Dr. Malik Saïd,6,Santé,Médecine / Santé publique,Master,French,2022,high,24,1,1.65,68,16,52,0.7647,0.2353,False
43,978-2-060043-818-1,Anatomie Fonctionnelle,Dr. Chloé Renard,6,Santé,Médecine / Santé publique,Undergraduate,French,2020,medium,16,1,0.75,66,36,30,0.4545,0.5455,False
44,978-2-060044-723-2,Biostatistique Médicale,Dr. Henry Wilson,6,Santé,Médecine / Santé publique,Master,English,2021,medium,16,1,0.75,74,36,38,0.5135,0.4865,False
45,978-2-060045-646-3,Gestion Hospitalière,Dr. Laura Petit,6,Santé,Médecine / Santé publique,Master,French,2019,low,12,1,0.262,85,72,13,0.1529,0.8471,False
46,978-2-060046-267-7,Santé Numérique,Dr. Sofia Garcia,6,Santé,Médecine / Santé publique,Master,French,2024,medium,16,1,0.75,72,38,34,0.4722,0.5278,False
47,978-2-060047-488-4,Recherche Clinique,Dr. Bernard Masson,6,Santé,Médecine / Santé publique,Doctorate,French,2022,medium,16,1,0.75,66,37,29,0.4394,0.5606,False
48,978-2-060048-755-8,Prévention et Politiques de Santé,Dr. Inès Morel,6,Santé,Médecine / Santé publique,Undergraduate,French,2020,low,12,1,0.262,92,77,15,0.163,0.837,False
49,978-2-070049-324-5,Finance d’Entreprise,Alexandre Noël,7,Économie-Gestion,Finance / Management,Undergraduate,French,2021,medium,16,1,0.65,63,34,29,0.4603,0.5397,False
50,978-2-070050-963-0,Contrôle de Gestion,Béatrice Collet,7,Économie-Gestion,Finance / Management,Undergraduate,French,2020,medium,16,1,0.65,66,31,35,0.5303,0.4697,False
51,978-2-070051-334-0,Marketing Analytics,Camila Rossi,7,Économie-Gestion,Finance / Management,Master,French,2023,high,24,1,1.43,71,10,61,0.8592,0.1408,False
52,978-2-070052-924-5,Management des SI,Pierre Klein,7,Économie-Gestion,Finance / Management,Master,French,2022,medium,16,1,0.65,61,32,29,0.4754,0.5246,False
53,978-2-070053-510-4,Comptabilité Avancée,Nicolas Girard,7,Économie-Gestion,Finance / Management,Undergraduate,French,2019,low,12,1,0.227,83,69,14,0.1687,0.8313,False
54,978-2-070054-167-3,Stratégie d’Entreprise,Isabelle Martel,7,Économie-Gestion,Finance / Management,Master,French,2021,medium,16,1,0.65,62,31,31,0.5,0.5,False
55,978-2-070055-680-5,Économie Numérique,Lina Hoffmann,7,Économie-Gestion,Finance / Management,Master,French,2024,medium,16,1,0.65,61,31,30,0.4918,0.5082,False
56,978-2-070056-317-7,Supply Chain Analytics,Adam Schmidt,7,Économie-Gestion,Finance / Management,Master,English,2023,medium,16,1,0.65,62,33,29,0.4677,0.5323,False
57,978-2-080057-505-7,Sociologie des Organisations,Claire Aubry,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2019,low,17,1,0.122,107,85,22,0.2056,0.7944,False
58,978-2-080058-246-4,Psychologie Cognitive,Manon Lerat,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,1,0.122,116,98,18,0.1552,0.8448,False
59,978-2-080059-242-3,Méthodes Qualitatives,Nelly Bernard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2018,low,17,1,0.122,118,95,23,0.1949,0.8051,False
60,978-2-080060-862-8,Éducation et Inégalités,Omar Haddadi,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2021,low,17,1,0.122,103,81,22,0.2136,0.7864,False
61,978-2-080061-651-4,Anthropologie Contemporaine,Éric Denis,8,Sciences Humaines,Sociologie / Psychologie,Doctorate,French,2017,low,17,1,0.122,110,87,23,0.2091,0.7909,False
62,978-2-080062-864-9,Communication Interculturelle,Sonia Alvarez,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,1,0.122,110,90,20,0.1818,0.8182,False
63,978-2-080063-538-9,Urbanisme et Territoires,Florian Adam,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2022,medium,16,1,0.35,63,35,28,0.4444,0.5556,False
64,978-2-080064-508-5,Travail et Numérique,Maëlle Picard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2023,medium,16,1,0.35,61,33,28,0.459,0.541,False
65,978-2-090065-324-2,Romans Français du XXe Siècle,Henri Valois,9,Littérature,Romans / essais,Undergraduate,French,2015,low,17,1,7.0,116,95,21,0.181,0.819,False
66,978-2-090066-621-7,Littérature Comparée,Marina Vasseur,9,Littérature,Romans / essais,Master,French,2017,low,17,1,7.0,120,100,20,0.1667,0.8333,False
67,978-2-090067-193-0,Poésie Moderne,Léa Tessier,9,Littérature,Romans / essais,Undergraduate,French,2016,low,17,1,7.0,120,94,26,0.2167,0.7833,False
68,978-2-090068-981-1,Théâtre Classique,Arthur Delmas,9,Littérature,Romans / essais,Undergraduate,French,2014,low,17,1,7.0,119,94,25,0.2101,0.7899,False
69,978-2-090069-256-2,Essais Contemporains,Louise Perrier,9,Littérature,Romans / essais,Master,French,2019,low,17,1,7.0,119,95,24,0.2017,0.7983,False
70,978-2-090070-911-6,World Literature Anthology,Olivia Green,9,Littérature,Romans / essais,Undergraduate,English,2020,low,17,1,7.0,109,83,26,0.2385,0.7615,False
71,978-2-090071-710-1,Narratologie,Benoît Charrier,9,Littérature,Romans / essais,Doctorate,French,2018,low,17,1,7.0,105,82,23,0.219,0.781,False
72,978-2-090072-494-6,Écriture Créative,Amélie Meyer,9,Littérature,Romans / essais,Undergraduate,French,2021,low,17,1,7.0,115,94,21,0.1826,0.8174,False
