book_id,isbn,title,author,category_id,category,genre,academic_level,language,publication_year,demand_tier,base_total_copies,popularity_score
46,978-2-060046-267-7,Santé Numérique,Dr. Sofia Garcia,6,Santé,Médecine / Santé publique,Master,French,2024,medium,16,0.75
47,978-2-060047-488-4,Recherche Clinique,Dr. Bernard Masson,6,Santé,Médecine / Santé publique,Doctorate,French,2022,medium,16,0.75
48,978-2-060048-755-8,Prévention et Politiques de Santé,Dr. Inès Morel,6,Santé,Médecine / Santé publique,Undergraduate,French,2020,low,12,0.262
49,978-2-070049-324-5,Finance d’Entreprise,Alexandre Noël,7,Économie-Gestion,Finance / Management,Undergraduate,French,2021,medium,16,0.65
50,978-2-070050-963-0,Contrôle de Gestion,Béatrice Collet,7,Économie-Gestion,Finance / Management,Undergraduate,French,2020,medium,16,0.65
51,978-2-070051-334-0,Marketing Analytics,Camila Rossi,7,Économie-Gestion,Finance / Management,Master,French,2023,high,24,1.43
52,978-2-070052-924-5,Management des SI,Pierre Klein,7,Économie-Gestion,Finance / Management,Master,French,2022,medium,16,0.65
53,978-2-070053-510-4,Comptabilité Avancée,Nicolas Girard,7,Économie-Gestion,Finance / Management,Undergraduate,French,2019,low,12,0.227
54,978-2-070054-167-3,Stratégie d’Entreprise,Isabelle Martel,7,Économie-Gestion,Finance / Management,Master,French,2021,medium,16,0.65
55,978-2-070055-680-5,Économie Numérique,Lina Hoffmann,7,Économie-Gestion,Finance / Management,Master,French,2024,medium,16,0.65
56,978-2-070056-317-7,Supply Chain Analytics,Adam Schmidt,7,Économie-Gestion,Finance / Management,Master,English,2023,medium,16,0.65
57,978-2-080057-505-7,Sociologie des Organisations,Claire Aubry,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2019,low,17,0.122
58,978-2-080058-246-4,Psychologie Cognitive,Manon Lerat,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,0.122
59,978-2-080059-242-3,Méthodes Qualitatives,Nelly Bernard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2018,low,17,0.122
60,978-2-080060-862-8,Éducation et Inégalités,Omar Haddadi,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2021,low,17,0.122
61,978-2-080061-651-4,Anthropologie Contemporaine,Éric Denis,8,Sciences Humaines,Sociologie / Psychologie,Doctorate,French,2017,low,17,0.122
62,978-2-080062-864-9,Communication Interculturelle,Sonia Alvarez,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,0.122
63,978-2-080063-538-9,Urbanisme et Territoires,Florian Adam,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2022,medium,16,0.35
64,978-2-080064-508-5,Travail et Numérique,Maëlle Picard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2023,medium,16,0.35
65,978-2-090065-324-2,Romans Français du XXe Siècle,Henri Valois,9,Littérature,Romans / essais,Undergraduate,French,2015,low,17,7.0
66,978-2-090066-621-7,Littérature Comparée,Marina Vasseur,9,Littérature,Romans / essais,Master,French,2017,low,17,7.0
67,978-2-090067-193-0,Poésie Moderne,Léa Tessier,9,Littérature,Romans / essais,Undergraduate,French,2016,low,17,7.0
68,978-2-090068-981-1,Théâtre Classique,Arthur Delmas,9,Littérature,Romans / essais,Undergraduate,French,2014,low,17,7.0
69,978-2-090069-256-2,Essais Contemporains,Louise Perrier,9,Littérature,Romans / essais,Master,French,2019,low,17,7.0
70,978-2-090070-911-6,World Literature Anthology,Olivia Green,9,Littérature,Romans / essais,Undergraduate,English,2020,low,17,7.0
71,978-2-090071-710-1,Narratologie,Benoît Charrier,9,Littérature,Romans / essais,Doctorate,French,2018,low,17,7.0
72,978-2-090072-494-6,Écriture Créative,Amélie Meyer,9,Littérature,Romans / essais,Undergraduate,French,2021,low,17,7.0
